Country.Name,Country.Code,Region,IncomeGroup,year,pop_total,perc_urban_pop,pop_in_largest_city,GDP_in_USD
American Samoa,ASM,East Asia & Pacific,Upper middle income,1960,20123,66.211,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1961,20602,66.641,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1962,21253,67.068,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1963,22034,67.493,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1964,22854,67.916,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1965,23672,68.334,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1966,24462,68.75,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1967,25248,69.163,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1968,25989,69.574,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1969,26703,69.98,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1970,27363,70.384,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1971,27984,70.784,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1972,28567,71.182,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1973,29100,71.576,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1974,29596,71.967,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1975,30052,72.354,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1976,30456,72.739,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1977,30838,73.12,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1978,31269,73.497,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1979,31845,73.871,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1980,32646,74.33,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1981,33701,75.043,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1982,34968,75.743,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1983,36412,76.429,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1984,37946,77.103,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1985,39519,77.762,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1986,41119,78.408,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1987,42740,79.04,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1988,44343,79.659,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1989,45894,80.263,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1990,47347,80.948,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1991,48685,81.886,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1992,49896,82.789,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1993,51020,83.654,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1994,52095,84.485,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1995,53161,85.28,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1996,54211,86.043,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1997,55221,86.771,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1998,56171,87.467,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,1999,57053,88.131,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,2000,57821,88.587,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,2001,58494,88.491,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,2002,59080,88.394,NA,514000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2003,59504,88.297,NA,527000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2004,59681,88.198,NA,512000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2005,59562,88.1,NA,503000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2006,59107,88,NA,496000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2007,58365,87.9,NA,520000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2008,57492,87.799,NA,563000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2009,56683,87.697,NA,678000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2010,56079,87.594,NA,576000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2011,55759,87.502,NA,574000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2012,55667,87.42,NA,644000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2013,55713,87.348,NA,641000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2014,55791,87.288,NA,642000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2015,55812,87.238,NA,661000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2016,55741,87.198,NA,652000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2017,55620,87.17,NA,602000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2018,55465,87.153,NA,636000000
American Samoa,ASM,East Asia & Pacific,Upper middle income,2019,55312,87.147,NA,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,2020,NA,NA,NA,NA
Australia,AUS,East Asia & Pacific,High income,1960,10276477,81.529,2134673,18577668271.9229
Australia,AUS,East Asia & Pacific,High income,1961,10483000,81.941,2183523,19652816664.8001
Australia,AUS,East Asia & Pacific,High income,1962,10742000,82.228,2233459,19892485160.7123
Australia,AUS,East Asia & Pacific,High income,1963,10950000,82.511,2284537,21507447642.5132
