sofifa_id,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,overall,player_positions
158023,L. Messi,Lionel Andrés Messi Cuccittini,32,1987-06-24,170,72,Argentina,FC Barcelona,Spain Primera Division,94,"RW, CF, ST"
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,1985-02-05,187,83,Portugal,Juventus,Italian Serie A,93,"ST, LW"
190871,Neymar Jr,Neymar da Silva Santos Júnior,27,1992-02-05,175,68,Brazil,Paris Saint-Germain,French Ligue 1,92,"LW, CAM"
200389,J. Oblak,Jan Oblak,26,1993-01-07,188,87,Slovenia,Atlético Madrid,Spain Primera Division,91,GK
183277,E. Hazard,Eden Hazard,28,1991-01-07,175,74,Belgium,Real Madrid,Spain Primera Division,91,"LW, CF"
192985,K. De Bruyne,Kevin De Bruyne,28,1991-06-28,181,70,Belgium,Manchester City,English Premier League,91,"CAM, CM"
192448,M. ter Stegen,Marc-André ter Stegen,27,1992-04-30,187,85,Germany,FC Barcelona,Spain Primera Division,90,GK
203376,V. van Dijk,Virgil van Dijk,27,1991-07-08,193,92,Netherlands,Liverpool,English Premier League,90,CB
177003,L. Modrić,Luka Modrić,33,1985-09-09,172,66,Croatia,Real Madrid,Spain Primera Division,90,CM
209331,M. Salah,Mohamed Salah Ghaly,27,1992-06-15,175,71,Egypt,Liverpool,English Premier League,90,"RW, ST"
231747,K. Mbappé,Kylian Mbappé Lottin,20,1998-12-20,178,73,France,Paris Saint-Germain,French Ligue 1,89,"ST, RW"
201024,K. Koulibaly,Kalidou Koulibaly,28,1991-06-20,187,89,Senegal,Napoli,Italian Serie A,89,CB
202126,H. Kane,Harry Kane,25,1993-07-28,188,89,England,Tottenham Hotspur,English Premier League,89,ST
212831,Alisson,Alisson Ramsés Becker,26,1992-10-02,191,91,Brazil,Liverpool,English Premier League,89,GK
193080,De Gea,David De Gea Quintana,28,1990-11-07,192,82,Spain,Manchester United,English Premier League,89,GK
215914,N. Kanté,N'Golo Kanté,28,1991-03-29,168,72,France,Chelsea,English Premier League,89,"CDM, CM"
138956,G. Chiellini,Giorgio Chiellini,34,1984-08-14,187,85,Italy,Juventus,Italian Serie A,89,CB
