"","X","full_name","rating","jersey","team","position","b_day","metros","kilos","salary","country","draft_year","draft_round","draft_peak","college"
"1",1,"LeBron James",97,23,"Los Angeles Lakers","F",1984-12-30,2.06,113.4,37436858,"USA",2003,1,1,"High School"
"2",2,"Kawhi Leonard",97,2,"Los Angeles Clippers","F",1991-06-29,2.01,102.1,32742000,"USA",2011,1,15,"San Diego State"
"3",3,"Giannis Antetokounmpo",96,34,"Milwaukee Bucks","F-G",1994-12-06,2.11,109.8,25842697,"Greece",2013,1,15,"Studied Abroad"
"4",4,"Kevin Durant",96,7,"Brooklyn Nets","F",1988-09-29,2.08,104.3,37199000,"USA",2007,1,2,"Texas"
"5",5,"James Harden",96,13,"Houston Rockets","G",1989-08-26,1.96,99.8,38199000,"USA",2009,1,3,"Arizona State"
"6",6,"Stephen Curry",95,30,"Golden State Warriors","G",1988-03-14,1.91,83.9,40231758,"USA",2009,1,7,"Davidson"
"7",7,"Anthony Davis",94,3,"Los Angeles Lakers","F-C",1993-03-11,2.08,100.7,27093019,"USA",2012,1,1,"Kentucky"
"8",8,"Paul George",93,13,"Los Angeles Clippers","F",1990-05-02,2.03,95.3,33005556,"USA",2010,1,10,"Fresno State"
"9",9,"Damian Lillard",92,0,"Portland Trail Blazers","G",1990-07-15,1.88,88.5,29802321,"USA",2012,1,6,"Weber State"
"10",10,"Joel Embiid",91,21,"Philadelphia 76ers","C",1994-03-16,2.13,113.4,27504630,"Cameroon",2014,1,3,"Kansas"
"11",11,"Kyrie Irving",91,11,"Brooklyn Nets","G",1992-03-23,1.88,81.6,31742000,"Australia",2011,1,1,"Duke"
"12",12,"Nikola Jokic",90,15,"Denver Nuggets","C",1995-02-19,2.13,114.8,27504630,"Serbia",2014,2,41,"Studied Abroad"
"13",13,"Russell Westbrook",90,0,"Houston Rockets","G",1988-11-12,1.91,86.2,38506482,"USA",2008,1,4,"UCLA"
"14",14,"Klay Thompson",89,11,"Golden State Warriors","G",1990-02-08,1.98,93,32742000,"USA",2011,1,11,"Washington State"
"15",15,"Karl-Anthony Towns",89,32,"Minnesota Timberwolves","F-C",1995-11-15,2.11,112.5,27285000,"USA",2015,1,1,"Kentucky"
"16",16,"Jimmy Butler",88,22,"Miami Heat","G",1989-09-14,2.01,99.8,32742000,"USA",2011,1,30,"Marquette"
"17",17,"Rudy Gobert",88,27,"Utah Jazz","C",1992-06-26,2.16,108,25258427,"France",2013,1,27,"Studied Abroad"
"18",18,"Blake Griffin",88,23,"Detroit Pistons","F",1989-03-16,2.06,114.3,34449964,"USA",2009,1,1,"Oklahoma"
"19",19,"Donovan Mitchell",88,45,"Utah Jazz","G",1996-09-07,1.85,95.7,3635760,"USA",2017,1,13,"Louisville"
"20",20,"Kemba Walker",88,8,"Boston Celtics","G",1990-05-08,1.83,78,32742000,"USA",2011,1,9,"UConn"
"21",21,"Luka Doncic",87,77,"Dallas Mavericks","G-F",1999-02-28,2.01,103,7683360,"Slovenia",2018,1,3,"Studied Abroad"
"22",22,"LaMarcus Aldridge",87,12,"San Antonio Spurs","F-C",1985-07-19,2.11,111.6,2.6e+07,"USA",2006,1,2,"Texas"
"23",23,"Bradley Beal",87,3,"Washington Wizards","G",1993-06-28,1.91,93.9,27093018,"USA",2012,1,3,"Florida"
"24",24,"Mike Conley",87,10,"Utah Jazz","G",1987-10-11,1.85,83.9,32511623,"USA",2007,1,4,"Ohio State"
"25",25,"DeMar DeRozan",87,10,"San Antonio Spurs","G-F",1989-08-07,1.98,99.8,27739975,"USA",2009,1,9,"USC"
"26",26,"CJ McCollum",87,3,"Portland Trail Blazers","G",1991-09-19,1.91,89.4,27556959,"USA",2013,1,10,"Lehigh"
"27",27,"Victor Oladipo",87,4,"Indiana Pacers","G",1992-05-04,1.93,96.6,2.1e+07,"USA",2013,1,2,"Indiana"
"28",28,"Kristaps Porzingis",87,6,"Dallas Mavericks","F-C",1995-08-02,2.21,99.8,27285000,"Latvia",2015,1,4,"Studied Abroad"
"29",29,"D'Angelo Russell",87,0,"Minnesota Timberwolves","G",1996-02-23,1.93,87.5,27285000,"USA",2015,1,2,"Ohio State"
"30",30,"Pascal Siakam",87,43,"Toronto Raptors","F",1994-04-02,2.06,103,2351838,"Cameroon",2016,1,27,"New Mexico State"
"31",31,"Ben Simmons",87,25,"Philadelphia 76ers","F",1996-07-20,2.08,108.9,8113929,"Australia",2016,1,1,"LSU"
"32",32,"De'Aaron Fox",86,5,"Sacramento Kings","G",1997-12-20,1.91,77.6,6392760,"USA",2017,1,5,"Kentucky"
"33",33,"Devin Booker",86,1,"Phoenix Suns","G",1996-10-30,1.96,93.4,27285000,"USA",2015,1,13,"Kentucky"
"34",34,"DeMarcus Cousins",86,0,"No_Team","C",1990-08-13,2.08,122.5,3500000,"USA",2010,1,5,"Kentucky"
"35",35,"Andre Drummond",86,0,"Cleveland Cavaliers","C",1993-08-10,2.08,122.5,27093018,"USA",2012,1,9,"UConn"
"36",36,"Draymond Green",86,23,"Golden State Warriors","F",1990-03-04,1.98,104.3,18539130,"USA",2012,2,35,"Michigan State"
"37",37,"Jrue Holiday",86,11,"New Orleans Pelicans","G",1990-06-12,1.91,81.6,26131111,"USA",2009,1,17,"UCLA"
"38",38,"Nikola Vucevic",86,9,"Orlando Magic","C",1990-10-24,2.11,108.9,2.8e+07,"Montenegro",2011,1,16,"USC"
"39",39,"John Wall",86,2,"Washington Wizards","G",1990-09-06,1.93,88.5,38199000,"USA",2010,1,1,"Kentucky"
"40",40,"Jayson Tatum",85,0,"Boston Celtics","F",1998-03-03,2.03,92.5,7830000,"USA",2017,1,3,"Duke"
"41",41,"Trae Young",85,11,"Atlanta Hawks","G",1998-09-19,1.85,81.6,6273000,"USA",2018,1,5,"Oklahoma"
"42",42,"Eric Bledsoe",85,6,"Milwaukee Bucks","G",1989-12-09,1.85,88.5,15625000,"USA",2010,1,18,"Kentucky"
"43",43,"Clint Capela",85,15,"Atlanta Hawks","C",1994-05-18,2.08,95.7,16896552,"Switzerland",2014,1,25,"Studied Abroad"
"44",44,"Tobias Harris",85,12,"Philadelphia 76ers","F",1992-07-15,2.03,102.5,32742000,"USA",2011,1,19,"Tennessee"
"45",45,"Al Horford",85,42,"Philadelphia 76ers","C-F",1986-06-03,2.06,111.6,2.8e+07,"Dominican Republic",2007,1,3,"Florida"
"46",46,"Zach LaVine",85,8,"Chicago Bulls","G",1995-03-10,1.98,82.1,19500000,"USA",2014,1,13,"UCLA"
"47",47,"Kyle Lowry",85,7,"Toronto Raptors","G",1986-03-25,1.83,93,33296296,"USA",2006,1,24,"Villanova"
"48",48,"Khris Middleton",85,22,"Milwaukee Bucks","F",1991-08-12,2.01,98.4,30603448,"USA",2012,2,39,"Texas A&M"
"49",49,"Chris Paul",85,3,"Oklahoma City Thunder","G",1985-05-06,1.85,79.4,38506482,"USA",2005,1,4,"Wake Forest"
"50",50,"John Collins",84,20,"Atlanta Hawks","F",1997-09-23,2.06,102.1,2686560,"USA",2017,1,19,"Wake Forest"
"51",51,"Buddy Hield",84,24,"Sacramento Kings","G",1993-12-17,1.93,96.2,4861207,"The Bahamas",2016,1,6,"Oklahoma"
"52",52,"Kyle Kuzma",84,0,"Los Angeles Lakers","F",1995-07-24,2.03,100.2,1974600,"USA",2017,1,27,"Utah"
"53",53,"Jamal Murray",84,27,"Denver Nuggets","G",1997-02-23,1.93,91.2,4444746,"Canada",2016,1,7,"Kentucky"
"54",54,"Louis Williams",84,23,"Los Angeles Clippers","G",1986-10-27,1.85,79.4,8e+06,"USA",2005,2,45,"High School"
"55",55,"Marvin Bagley",83,35,"Sacramento Kings","F",1999-03-14,2.11,106.6,8556120,"USA",2018,1,2,"Duke"
"56",56,"Bojan Bogdanovic",83,44,"Utah Jazz","G-F",1989-04-18,2.03,98,1.7e+07,"Croatia",2011,2,31,"Studied Abroad"
"57",57,"Malcolm Brogdon",83,7,"Indiana Pacers","G",1992-12-11,1.96,101.2,2e+07,"USA",2016,2,36,"Virginia"
"58",58,"Danilo Gallinari",83,8,"Oklahoma City Thunder","F",1988-08-08,2.08,102.1,22615559,"Italy",2008,1,6,"Studied Abroad"
"59",59,"Montrezl Harrell",83,5,"Los Angeles Clippers","F",1994-01-26,2.01,114.8,6e+06,"USA",2015,2,32,"Louisville"
"60",60,"Kevin Love",83,0,"Cleveland Cavaliers","F",1988-09-07,2.03,117.9,28942830,"USA",2008,1,5,"UCLA"
"61",61,"Lauri Markkanen",83,24,"Chicago Bulls","F-C",1997-05-22,2.13,108.9,5300400,"Finland",2017,1,7,"Arizona"
"62",62,"Jusuf Nurkic",83,27,"Portland Trail Blazers","C",1994-08-23,2.13,131.5,1.2e+07,"Bosnia and Herzegovina",2014,1,16,"Studied Abroad"
"63",63,"Julius Randle",83,30,"New York Knicks","F",1994-11-29,2.03,113.4,1.8e+07,"USA",2014,1,7,"Kentucky"
"64",64,"Marc Gasol",82,33,"Toronto Raptors","C",1985-01-29,2.11,120.2,25595700,"Spain",2007,2,48,"Studied Abroad"
"65",65,"Steven Adams",82,12,"Oklahoma City Thunder","C",1993-07-20,2.11,115.7,25842697,"New Zealand",2013,1,12,"Pittsburgh"
"66",66,"Deandre Ayton",82,22,"Phoenix Suns","C",1998-07-23,2.11,113.4,9562920,"The Bahamas",2018,1,1,"Arizona"
"67",67,"Spencer Dinwiddie",82,8,"Brooklyn Nets","G",1993-04-06,1.96,93,10605600,"USA",2014,2,38,"Colorado"
"68",68,"Jaren Jackson",82,13,"Memphis Grizzlies","F-C",1999-09-15,2.11,110,6699960,"USA",2018,1,4,"Michigan State"
"69",69,"Paul Millsap",82,4,"Denver Nuggets","F-C",1985-02-10,2.01,113.4,30350000,"USA",2017,2,47,"Louisiana Tech"
"70",70,"Marcus Smart",82,36,"Boston Celtics","G",1994-03-06,1.91,103,12553571,"USA",2014,1,6,"Oklahoma State"
"71",71,"Myles Turner",82,33,"Indiana Pacers","F-C",1996-03-24,2.11,108.4,1.8e+07,"USA",2015,1,11,"Texas"
"72",72,"Serge Ibaka",81,9,"Toronto Raptors","F",1989-09-18,2.13,108.9,23271604,"Spain",2008,1,24,"Studied Abroad"
"73",73,"Zion Williamson",81,1,"New Orleans Pelicans","F",2000-07-06,1.98,128.8,9757440,"USA",2019,1,1,"Duke"
"74",74,"Rudy Gay",81,22,"San Antonio Spurs","F",1986-08-17,2.03,104.3,14500000,"USA",2006,1,8,"UConn"
"75",75,"Aaron Gordon",81,0,"Orlando Magic","F",1995-09-16,2.03,99.8,19863636,"USA",2014,1,4,"Arizona"
"76",76,"Brandon Ingram",81,14,"New Orleans Pelicans","F",1997-09-02,2.01,88.9,7265485,"USA",2016,1,2,"Duke"
"77",77,"DeAndre Jordan",81,6,"Brooklyn Nets","C",1988-07-21,2.11,120.2,9881598,"USA",2008,2,35,"Texas A&M"
"78",78,"Domantas Sabonis",81,11,"Indiana Pacers","F-C",1996-05-03,2.11,104.8,3529554,"Lithuania",2016,1,11,"Gonzaga"
"79",79,"Jonas Valanciunas",81,17,"Memphis Grizzlies","C",1992-05-06,2.11,104.8,1.6e+07,"Lithuania",2011,1,5,"Studied Abroad"
